0,I have overcome setbacks to conquer an important challenge.,Not much like me,4
1,New ideas and projects sometimes distract me from previous ones.,Not much like me,4
2,My interests change from year to year.,Somewhat like me,3
3,Setbacks don't discourage me.,Not much like me,4
4,I have been obsessed with a certain idea or project for a short time but later lost interest.,Very much like me,1
5,I am a hard worker.,Very much like me,1
6,I often set a goal but later choose to pursue a different one.,Not much like me,4
7,I have difficulty maintaining my focus on projects that take more than a few months to complete.,Somewhat like me,3
8,I finish whatever I begin.,Not much like me,4
9,I have achieved a goal that took years of work.,Not like me at all,5
10,I become interested in new pursuits every few months.,Not like me at all,5
11,I am diligent.,Very much like me,1
Final Grit Score = 3.25, medium
Name = Elizabeth 
